incident_reference,imb_incident_number,incident_type,incident_action,territorial_water_status,closest_coastal_state,closest_state_cow_code,location_description,day,month,year,lat_decimal_degrees,long_decimal_degrees,location_precision,geolocation_source,vessel_name,flag,flag_cow_code,vessel_type,steaming_or_stationary,number_of_assailants,armed,weaponry,violence,violence_dummy,type_of_stolen_goods,port_response_received,ransom_paid,steaming_recode,incident_type_recode,incident_action_recode,time_day,converted_time
1367,,actual,boarded,peru_(peruvian_point_of_view),peru_(peruvian_point_of_view),135,"pisco,_peru",1,5,2000,-13.7265,-76.22166667,2,imb,richmond_park,liberia,450,8,berthed,unspecified,0,unspecified,0,0,stores,1,0,3,1,2,-99,
1366,,actual,boarded,brazil,brazil,140,"santos_roads,_brazil",1,5,2000,-23.98,-46.305,2,imb,colleen_sif,singapore,830,4,anchored,2,1,guns,4,1,unspecified,1,0,2,1,2,-99,
1368,,actual,boarded,india,india,750,"chennai_anchorage,_india",1,5,2000,13.10666667,80.305,2,imb,orientor,st._vincent_&_grenadines,57,2,anchored,unspecified,0,unspecified,0,0,portable_aluminum_gangway,1,0,2,1,2,-99,
1369,,actual,boarded,bangladesh,bangladesh,771,"pussur_river,_mongla,_bangladesh_(coded_as_mongla_port)",1,5,2000,22.4855,89.58583333,2,imb,ardeal,romania,360,6,anchored,6,1,unspecified,4,1,unspecified,1,0,2,1,2,-99,
1371,,actual,boarded,china,china,710,"vung_tau,_vietnam",3,5,2000,23.06566667,107.0686667,2,imb,kelso,hong_kong,710,7,anchored,2,1,knives,3,1,stores,1,0,2,1,2,-99,
1372,,actual,boarded,malaysia,malaysia,820,"pulau_boheian,_malaysia_",3,5,2000,4.4717,118.9369,4,imb,unspecified,malaysia,820,5,anchored,3,1,guns,3,1,unspecified,1,0,2,1,2,-99,
1370,,attempted,,indonesia,indonesia,850,"anyer,_indonesia",3,5,2000,-6.041833333,105.9193333,2,imb,phoenix_gas,liberia,450,7,anchored,unspecified,0,unspecified,4,1,none,1,0,2,0,-99,-99,
1373,,actual,boarded,indonesia,indonesia,850,"belawan,_indonesia",5,5,2000,3.783666667,98.70066667,2,imb,parita,malta,338,2,berthed,5,1,iron_rods,4,1,unspecified,1,0,3,1,2,-99,
1374,,actual,boarded,brazil,brazil,140,"santos_outer_roads,_brazil",6,5,2000,-23.98,-46.305,2,imb,gefion,philippines,840,6,steaming,unspecified,1,unspecified,4,1,"cash,_personal_belongings",1,0,1,1,2,-99,
1375,,actual,boarded,bangladesh,bangladesh,771,"chittagong,_bangladesh",6,5,2000,22.23833333,91.82666667,2,imb,gaz_lion,panama,95,7,anchored,unspecified,0,unspecified,0,0,stores,1,0,2,1,2,-99,
1376,,actual,boarded,malaysia,malaysia,820,"pulau_lima_trengganu,_malaysia_",6,5,2000,5.7739,103.0605,4,imb,tfa_522,malaysia,820,5,steaming,unspecified,0,unspecified,0,0,"fishing_catch,_cash",1,0,1,1,2,-99,
1378,,attempted,fired_upon,nigeria,nigeria,475,somalia_(coordinates_are_located_inland_in_northern_nigeria),7,5,2000,13.11666667,4.616666667,1,imb,jasali,antigua_&_barbuda,58,9,steaming,unspecified,1,guns,4,1,none,1,0,1,0,3,-99,
