Incident Reference,Incident Type,Incident Action,Territorial Water Status,Closest Coastal State,Closest State COW Code,IMO?,Location Description,Day,Month,Year,Hour (24-Hr Format),Latitude GPS,Latitude Direction,Lat Degrees,Lat Minutes,Lat Decimal Degrees,Longitude GPS,Longitude Direction,Long Degrees,Long Minutes,Long Decimal Degrees,Location Precision,Geolocation Source,Vessel Name,Flag,Flag COW Code,Vessel Type,Steaming or Stationary,Number of Assailants,Armed,Weaponry,Violence,Violence Dummy,Type of Stolen Goods,Port Response Received,Ransom Paid,Steaming Recode,Incident_type_recode,Incident_action_recode,Time_Day,Converted Time
4858,Attempted,,Indonesia,Indonesia,850,,"Karimun Island, Indonesia",28,6,2010,23:20,1:03.55,North,1.0000,3.5500,1.0592,103:33.88,East,103.0000,33.8800,103.5647,1,IMB,Joy Chemist,Panama,95,3,Steaming,Unspecified,0,Unknown,1,1,0,1,0,1,0,-99,3,11:20:00 PM
4930,Actual,Boarded,Indonesia,Indonesia,850,,"Off Pulau Mangkai, Indonesia, South China Sea",5,9,2010,3:05,3:14.2,North,3.0000,14.2000,3.2367,105:17.2,East,105.0000,17.2000,105.2867,1,IMB,Chemroad Luna,Panama,95,3,Steaming,4,1,Long knives,4,1,0,1,0,1,1,2,4,3:05:00 AM
5021,Attempted,Fired Upon,Internationa Waters (Indian Ocean),Seychelles,591,,Off Somalia,9,11,2010,5:47,1:05.0,North,1.0000,5.0000,1.0833,53:10.0,East,53.0000,10.0000,53.1667,1,IMB,Floyen,Panama,95,3,Steaming,Unspecified,1,"Guns, RPG",4,1,0,1,0,1,0,3,4,5:47:00 AM
5026,Actual,Hijacked,Internationa Waters (Arabian Sea),India,750,,"Indian Ocean, off Somalia",11,11,2010,4:35,11:26.0,North,11.0000,26.0000,11.4333,66:05.0,East,66.0000,5.0000,66.0833,1,IMB,Hannibal II,Panama,95,3,Steaming,Unspecified,1,Guns,4,1,0,1,0,1,1,1,4,4:35:00 AM
5052,Attempted,Fired Upon,Internationa Waters (Arabian Sea),India,750,,"(Arabian Sea), Off Somalia",24,11,2010,2:45,15:04.7,North,15.0000,4.7000,15.0783,67:05.8,East,67.0000,5.8000,67.0967,1,IMB,Norna N,Panama,95,3,Steaming,6,1,"Guns, RPG",4,1,0,1,0,1,0,3,4,2:45:00 AM
5069,Actual,Boarded,Egypt,Egypt,651,,"Port Said Inner Harbor, Egypt",7,12,2010,12:00,31:16.03,North,31.0000,16.0300,31.2672,32:19.5,East,32.0000,19.5000,32.3250,1,IMB,Norna N,Panama,95,3,Anchored,7,1,Iron Rod,4,1,0,1,0,2,1,2,1,12:00:00 PM
5147,Attempted,,Yemen,Yemen,679,,Gulf of Aden,20,1,2011,3:05,13:09.2,North,13.0000,9.2000,13.1533,049:14.6,East,49.0000,14.6000,49.2433,1,IMB,JBU Oslo,Panama,95,3,Steaming,Unspecified,1,Guns,1,1,0,1,0,1,0,-99,4,3:05:00 AM
5146,Actual,Boarded,Internationa Waters (Arabian Sea),Oman,698,,"Around 273NM SE of Ras Al Hadd, Oman. Off Somalia",20,1,2011,13:59,20:09,North,20.0000,9.0000,20.1500,063:58,East,63.0000,58.0000,63.9667,1,IMB,Bunga Laurel,Panama,95,3,Steaming,7,0,Unspecified,0,0,0,1,0,1,1,2,2,1:59:00 PM
5233,Actual,Boarded,Indonesia,Indonesia,850,,"Dumai Anchorage, Indonesia",19,3,2011,4:30,"1:40,60",North,1.0000,40.6000,1.6767,101:27,East,101.0000,27.0000,101.4500,2,IMB,Fairchem Filly,Panama,95,3,Anchored,4,1,Long knives,1,1,1,1,0,2,1,2,4,4:30:00 AM
5236,Actual,Boarded,Internationa Waters (Arabian Sea),Oman,698,,"Around 522NM East of Salalah, Oman. Off Somalia",21,3,2011,11:50,17:13.52,North,17.0000,13.5200,17.2253,063:18.34,East,63.0000,18.3400,63.3057,1,IMB,Liquid Crystal,Panama,95,3,Steaming,5,1,AK-47,0,0,0,1,0,1,1,2,1,11:50:00 AM
5253,Attempted,,Yemen,Yemen,679,,Gulf of Aden,1,4,2011,12:32,14:05,North,14.0000,5.0000,14.0833,051:43,East,51.0000,43.0000,51.7167,1,IMB,Fairchem Filly,Panama,95,3,Steaming,Unspecified,1,RPG and Guns,1,1,0,1,0,1,0,-99,2,12:32:00 PM
