Incident Reference,IMB incident number,Incident Type,Incident Action,Territorial Water Status,Closest Coastal State,Closest State COW Code,Location Description,Day,Month,Year,Lat Decimal Degrees,Long Decimal Degrees,Location Precision,Geolocation Source,Vessel Name,Flag,Flag COW Code,Vessel Type,Steaming or Stationary,Number of Assailants,Armed,Weaponry,Violence,Violence Dummy,Type of Stolen Goods,Port Response Received,Ransom Paid,Steaming Recode,Incident_type_recode,Incident_action_recode,Time_Day,Converted Time
1,,,,Taiwan,Taiwan,713,Hong Kong - Luzon - Hainan,2,1,1993,19.7,116.9666667,1,IMB,Mv Cosmic Leader,Philippines,840,10,Unspecified,,,,,,,,,-99,-99,-99,3,0.934027778
2,,,,China,China,710,Hong Kong - Luzon - Hainan,4,1,1993,22.35,116,1,IMB,Mv Tricolor Star III,Panama,95,6,Unspecified,,,,,,,,,-99,-99,-99,4,0.072916667
4,,,,Algeria,Algeria,615,Yellow Sea,6,1,1993,36.6715,0,5,IMB,Peiozyornyy,Russia,365,10,Unspecified,,,,,,,,,-99,-99,-99,-99,
3,,,,Taiwan,Taiwan,713,Hong Kong - Luzon - Hainan,6,1,1993,19.67,115.25,5,IMB,Mv Arktis Star,Denmark,390,6,Unspecified,,,,,,,,,-99,-99,-99,-99,
5,,,,China,China,710,East China Sea,8,1,1993,29.9,124.5833333,1,IMB,Ussurijsk,Russia,365,8,Unspecified,,,,,,,,,-99,-99,-99,4,0.208333333
6,,,,Philippines,Philippines,840,Hong Kong - Luzon - Hainan,12,1,1993,18.1333333,120.2666667,1,IMB,Mv Chennai Nermai,India,750,2,Unspecified,,,,,,,,,-99,-99,-99,4,0.25
7,,,,Cambodia,Cambodia,811,Gulf of Thailand. South China Sea,13,1,1993,9.7173,101.85,4,IMB,Emelyan Yaroslavskiy,Russia,365,,Unspecified,,,,,,,,,-99,-99,-99,4,0.1875
8,,,,Vietnam,Vietnam,816,South China Sea,25,1,1993,8.5666667,106.8666667,1,IMB,Mv Indira Ghandhi,Russia,365,10,Unspecified,,,,,,,,,-99,-99,-99,-99,
11,,,,Angola,Angola,540,"Luanda, Angola",26,1,1993,-8.8,13.25,2,IMB,Mv Bodrog,Hungary,310,6,Anchored,,,,,,,,,2,-99,-99,4,0.024305556
9,,,,China,China,710,East China Sea,26,1,1993,29,123.5,1,IMB,Mt Petrobulk Panther,Belgium,211,8,Unspecified,,,,,,,,,-99,-99,-99,2,0.697916667
10,,,,Philippines,Philippines,840,South China Sea,26,1,1993,4.4333333,119.4,1,IMB,Mv Southern King,Panama,95,6,Unspecified,,,,,,,,,-99,-99,-99,3,0.854166667
12,,,,Angola,Angola,540,"Port of Luanda, Angola",27,1,1993,-8.8,13.25,4,IMB,,,,,Unspecified,,,,,,,,,-99,-99,-99,4,0.024305556
13,,,,China,China,710,East China Sea,4,2,1993,25.75,123.1666667,1,IMB,Sukhinichi,Russia,365,,Unspecified,,,,,,,,,-99,-99,-99,2,0.583333333
14,,,,Nigeria,Nigeria,475,"Bonny Anchorage, Nigeria",5,2,1993,5.0016667,7.2266667,2,IMB,Mv Norgas Navigator,Norway,385,7,Anchored,,,,,,,,,2,-99,-99,4,0.090277778
15,,,,Philippines,Philippines,840,Hong Kong - Luzon - Hainan,6,2,1993,16.5833333,118.1666667,1,IMB,Mv Hulpha Kluang,Malaysia,820,4,Unspecified,,,,,,,,,-99,-99,-99,1,0.3125
16,,,,China,China,710,7.4 miles SE of Waglan. South China Sea,15,2,1993,38.6974,121.2995,3,IMB,Mv Marine Peace,Panama,95,6,Unspecified,,,,,,,,,-99,-99,-99,3,0.916666667
19,,,,Tanzania,Tanzania,510,"Dar-Es-Salam Anchor, Tanzania",16,2,1993,-6.775,39.3533333,2,IMB,Mv Socol 5,Panama,95,6,Unspecified,,,,,,,,,-99,-99,-99,4,0.145833333
20,,,,Tanzania,Tanzania,510,"Dar-Es-Salam Roads, Tanzania",16,2,1993,-6.775,39.3533333,4,IMB,,,,,Unspecified,,,,,,,,,-99,-99,-99,4,0.145833333
18,,,,Paracel Islands,Paracel Islands,710,,16,2,1993,15.7833333,111.2,1,IMB,Mt Samuel L. Cobb,USA,2,8,Unspecified,,,,,,,,,-99,-99,-99,3,0.847222222
21,,,,Paracel Islands,Paracel Islands,710,Hong Kong - Luzon - Hainan,16,2,1993,17.3333333,111.0333333,1,IMB,Mv Mary Nour,Panama,95,10,Unspecified,,,,,,,,,-99,-99,-99,4,0.16875
17,,,,Philippines,Philippines,840,Hong Kong - Luzon - Hainan,16,2,1993,19.3166667,118.7166667,1,IMB,Mv Lion,Denmark,390,6,Unspecified,,,,,,,,,-99,-99,-99,2,0.666666667
22,,,,Taiwan,Taiwan,713,Western Luzon. Hong Kong - Luzon - Hainan,18,2,1993,19.67,115.25,4,IMB,Mv Aleksandr Tsyurupa,Russia,365,6,Unspecified,,,,,,,,,-99,-99,-99,-99,
24,,,,South Korea,South Korea,732,East China Sea,25,2,1993,36.2,124.4333333,1,IMB,Mv Komsomolets,Russia,365,6,Unspecified,,,,,,,,,-99,-99,-99,3,0.784722222
23,,,,Vietnam,Vietnam,816,South China Sea,25,2,1993,8.5166667,104.4,1,IMB,Mv Great Amity,Panama,95,2,Unspecified,,,,,,,,,-99,-99,-99,3,0.822916667
25,,,,Pakistan,Pakistan,770,"Base Creek, Anchor. Arabian Sea",28,2,1993,24.7847,67.1457,2,IMB,Mv Alam Sempurna,Malaysia,820,2,Anchored,,,,,,,,,2,-99,-99,2,0.697916667
26,,,,Somalia,Somalia,520,Somalia,1,3,1993,8.9333333,50.5833333,1,IMB,Somalian Glory,Malta,338,5,Unspecified,,,,,,,,,-99,-99,-99,2,0.53125
27,,,,China,China,710,Taiwan Sea,3,3,1993,25.4333333,120.4666667,1,IMB,Mv Tulsidas,India,750,4,Unspecified,,,,,,,,,-99,-99,-99,2,0.635416667
28,,,,Philippines,Philippines,840,Hong Kong - Luzon - Hainan,5,3,1993,17.6,120.0666667,1,IMB,Mv Zirje,Yugoslavia,345,2,Unspecified,,,,,,,,,-99,-99,-99,3,0.934027778
29,,,,Indonesia,Indonesia,850,Straits of Malacca-Indonesia,6,3,1993,3.8,98.7166667,1,IMB,Mv Kavo Sidero,Greece,350,2,Unspecified,,,,,,,,,-99,-99,-99,4,0.208333333
30,,,,China,China,710,East China Sea,19,3,1993,37.2833333,122.7666667,1,IMB,Mv Sibirskiy 2114,Russia,365,6,Unspecified,,,,,,,,,-99,-99,-99,3,0.833333333
31,,,,Taiwan,Taiwan,713,SW of Hong Kong. Hong Kong - Luzon - Hainan,21,3,1993,19.67,115.25,4,IMB,M69204Y,Hong Kong,710,5,Unspecified,,,,,,,,,-99,-99,-99,-99,
32,,,,Vietnam,Vietnam,816,South China Sea,21,3,1993,15,109.5,1,IMB,Mt Suci,Malaysia,820,8,Unspecified,,,,,,,,,-99,-99,-99,2,0.583333333
33,,,,China,China,710,East China Sea,23,3,1993,26.75,124.3333333,1,IMB,Mv Vsip Pyatnitskiy,Russia,365,6,Unspecified,,,,,,,,,-99,-99,-99,2,0.59375
34,,,,Indonesia,Indonesia,850,South China Sea,23,3,1993,3.8166667,105.85,1,IMB,Mv Kurama,Panama,95,4,Unspecified,,,,,,,,,-99,-99,-99,4,0.059027778
35,,,,Brazil,Brazil,140,"Anchorage, Rio de Janeiro, Brazil",24,3,1993,-22.8933333,-43.1666667,2,IMB,Mv Santos Express,Bahamas,31,4,Anchored,,,,,,,,,2,-99,-99,4,0.173611111
36,,,,China,China,710,30 miles East of Waglan. Hong Kong - Luzon - Hainan,2,4,1993,38.7931,121.7766,3,IMB,Mv Bunga Terasek,Malaysia,820,4,Unspecified,,,,,,,,,-99,-99,-99,1,0.430555556
38,,,,China,China,710,Hong Kong - Luzon - Hainan,4,4,1993,22.3333333,115.6666667,1,IMB,Mv Birlad,Romania,360,2,Unspecified,,,,,,,,,-99,-99,-99,2,0.625
37,,,,Japan,Japan,740,Hong Kong - Luzon - Hainan,4,4,1993,22.7333333,123.8,1,IMB,Mv Pernas Proton,Malaysia,820,2,Unspecified,,,,,,,,,-99,-99,-99,4,0.232638889
39,,,,Vietnam,Vietnam,816,South China Sea,8,4,1993,12.5166667,111.4166667,1,IMB,Mv NL Trader,Hong Kong,710,6,Unspecified,,,,,,,,,-99,-99,-99,4,0.181944444
40,,,,Taiwan,Taiwan,713,Hong Kong Harbour. Hong Kong - Luzon - Hainan,13,4,1993,19.67,115.25,4,IMB,MV Baltimar Neptune,Denmark,390,6,Unspecified,,,,,,,,,-99,-99,-99,4,0.0625
41,,,,Paracel Islands,Paracel Islands,710,Hong Kong - Luzon - Hainan,17,4,1993,17.6333333,115.6166667,1,IMB,MV Sun Kung No. 8,Hong Kong,710,10,Unspecified,,,,,,,,,-99,-99,-99,3,0.833333333
42,,,,Taiwan,Taiwan,713,Hong Kong - Luzon - Hainan,22,4,1993,19.4,116.0833333,1,IMB,MV Salud Ace,Philippines,840,2,Unspecified,,,,,,,,,-99,-99,-99,2,0.666666667
43,,,,Taiwan,Taiwan,713,Hong Kong - Luzon - Hainan,22,4,1993,20.3,117.35,1,IMB,MV OOCL Beacon,Cyprus,352,4,Unspecified,,,,,,,,,-99,-99,-99,2,0.670138889
44,,,,Indonesia,Indonesia,850,Belawan Port. Straits of Malacca-Indonesia,22,4,1993,3.7766667,98.6766667,2,IMB,Mv Magic Lady,Liberia,450,8,Unspecified,,,,,,,,,-99,-99,-99,3,0.958333333
45,,,,Taiwan,Taiwan,713,Hong Kong - Luzon - Hainan,23,4,1993,20.8,117.5,1,IMB,Mv Old Sea Beacon,Russia,365,,Unspecified,,,,,,,,,-99,-99,-99,4,0.111111111
46,,,,Taiwan,Taiwan,713,Hong Kong - Luzon - Hainan,23,4,1993,21.1666667,116.7833333,1,IMB,Bukhta,Russia,365,5,Unspecified,,,,,,,,,-99,-99,-99,4,0.166666667
47,,,,Paracel Islands,Paracel Islands,710,300 miles South of Hong Kong. Hong Kong - Luzon - Hainan,29,4,1993,17.926,114.1833,3,IMB,Mv Zhongshan,Singapore,830,6,Unspecified,,,,,,,,,-99,-99,-99,-99,
48,,,,Japan,Japan,740,East China Sea,29,4,1993,28.85,126.0333333,1,IMB,MT President,Panama,95,8,Unspecified,,,,,,,,,-99,-99,-99,4,0.121527778
49,,,,South Korea,South Korea,732,East China Sea,2,5,1993,35.2333333,124.95,1,IMB,Mv Konstantin,Russia,365,2,Unspecified,,,,,,,,,-99,-99,-99,3,0.982638889
50,,,,Philippines,Philippines,840,South China Sea,3,5,1993,17.3,120.05,1,IMB,,Denmark,390,6,Unspecified,,,,,,,,,-99,-99,-99,2,0.541666667
52,,,,Taiwan,Taiwan,713,235 miles SE of Hong Kong. Hong Kong - Luzon - Hainan,4,5,1993,19.3123,115.984,3,IMB,Mv Tricolor Star III,Panama,95,6,Unspecified,,,,,,,,,-99,-99,-99,3,0.975694444
51,,,,South Korea,South Korea,732,East China Sea,4,5,1993,35.7833333,123.85,1,IMB,Mv Komsomlskaya Smena,Russia,365,10,Unspecified,,,,,,,,,-99,-99,-99,1,0.461805556
53,,,,Nigeria,Nigeria,475,"16 miles South of Lagos, Nigeria",17,5,1993,6.45,3.3766667,3,IMB,Mt Petrobulk Panther,Belgium,211,8,Unspecified,,,,,,,,,-99,-99,-99,4,0.166666667
54,,,,Indonesia,Indonesia,850,"Alongside Prointal Jetty, Indonesia",19,5,1993,-5.95,106,4,IMB,Maersk Sussex,IOM,,7,Unspecified,,,,,,,,,-99,-99,-99,4,0.15625
55,,,,Indonesia,Indonesia,850,Straits of Malacca-Indonesia,24,5,1993,3.5,100.1666667,1,IMB,Mv Star Lily,Hong Kong,710,2,Unspecified,,,,,,,,,-99,-99,-99,-99,
56,,,,Indonesia,Indonesia,850,Java Sea,25,5,1993,-5.7833333,108.7166667,1,IMB,Mt Timur Mercury,Bahamas,31,8,Unspecified,,,,,,,,,-99,-99,-99,-99,
57,,,,Indonesia,Indonesia,850,South China Sea,25,5,1993,6.9833333,108.4,1,IMB,Mv Pina,Hong Kong,710,2,Unspecified,,,,,,,,,-99,-99,-99,-99,
58,,,,China,China,710,Port of Weihaiwei. East China Sea,2,6,1993,37.4333333,122.1833333,2,IMB,Mv Sibirskiy-2114,Russia,365,6,Unspecified,,,,,,,,,-99,-99,-99,-99,
59,,,,Indonesia,Indonesia,850,Dumai Port. Straits of Malacca-Indonesia,3,6,1993,1.6766667,101.45,2,IMB,Mt Timur Endurance,Bahamas,31,8,Unspecified,,,,,,,,,-99,-99,-99,-99,
60,,,,China,China,710,East China Sea,9,6,1993,27.6166667,124.6666667,1,IMB,Mv Soyuz 4,Russia,365,5,Unspecified,,,,,,,,,-99,-99,-99,3,0.958333333
61,,,,Malaysia,Malaysia,820,Straits of Malacca-Malaysia,9,6,1993,2.25,101.9,1,IMB,Mt Royal Arrow,Liberia,450,8,Unspecified,,,,,,,,,-99,-99,-99,4,0.125
63,,,,China,China,710,East China Sea,11,6,1993,37.7,123.5666667,1,IMB,Mv Kap. Modest Ivanov,Russia,365,6,Unspecified,,,,,,,,,-99,-99,-99,3,0.791666667
62,,,,Japan,Japan,740,East China Sea,11,6,1993,22.75,124.1666667,1,IMB,Mt Dooyang Amber,Korea,732,6,Unspecified,,,,,,,,,-99,-99,-99,1,0.291666667
64,,,,Sri Lanka,Sri Lanka,780,"Colombo Outer Road, Sri Lanka",12,6,1993,6.95,79.8431667,4,IMB,Mv Tiger Stream,Germany,255,4,Unspecified,,,,,,,,,-99,-99,-99,4,0.017361111
65,,,,China,China,710,East China Sea,13,6,1993,36.8166667,123.3166667,1,IMB,Gorets,Russia,365,,Unspecified,,,,,,,,,-99,-99,-99,3,0.829861111
66,,,,China,China,710,150NM SE of Shanghai. East China Sea,15,6,1993,29.0791,122.9286,3,IMB,Mv Kovdor,Russia,365,6,Unspecified,,,,,,,,,-99,-99,-99,-99,
67,,,,China,China,710,East China Sea,16,6,1993,29.2179,125.1539,5,IMB,Mv Tokarevsk,Russia,365,6,Unspecified,,,,,,,,,-99,-99,-99,-99,
68,,,,China,China,710,East China Sea,17,6,1993,29.7833333,127.5,1,IMB,Mv Elm,Panama,95,6,Unspecified,,,,,,,,,-99,-99,-99,3,0.854166667
69,,,,Nigeria,Nigeria,475,Nigeria,21,6,1993,6.2833333,3.3666667,1,IMB,Mt Dan Frigg,Denmark,390,8,Unspecified,,,,,,,,,-99,-99,-99,4,0.020833333
70,,,,China,China,710,Hong Kong - Luzon - Hainan,24,6,1993,20.4166667,111.2333333,1,IMB,Mv Kapitan Betkher,Russia,365,2,Unspecified,,,,,,,,,-99,-99,-99,4,0.234722222
71,,,,Colombia,Colombia,100,"Inner Anchorage, Buenaventura, Colombia",25,6,1993,3.8766667,-77.0666667,2,IMB,Mv Crion,Malta,338,2,Unspecified,,,,,,,,,-99,-99,-99,3,0.902777778
72,,,,South Korea,South Korea,732,East China Sea,25,6,1993,35.0666667,128.6166667,1,IMB,Gorets,Russia,365,,Unspecified,,,,,,,,,-99,-99,-99,4,0.145833333
74,,,,China,China,710,China,26,6,1993,20.9666667,110.5833333,1,IMB,Mv Pavel Rybin,Russia,365,10,Unspecified,,,,,,,,,-99,-99,-99,2,0.576388889
73,,,,Taiwan,Taiwan,713,Hong Kong - Luzon - Hainan,26,6,1993,20.7666667,116.25,1,IMB,Mv Kap. Leo. Borisenko,Ukraine,369,6,Unspecified,,,,,,,,,-99,-99,-99,-99,
75,,,,Indonesia,Indonesia,850,South China Sea,26,6,1993,5.25,106.5,1,IMB,Mv Far Trader,St. Vincent and Grenadine,57,6,Unspecified,,,,,,,,,-99,-99,-99,4,0.041666667
76,,,,Taiwan,Taiwan,713,Hong Kong - Luzon - Hainan,6,7,1993,20.0333333,115.7,1,IMB,Mv Khudozhnik,Russia,365,,Unspecified,,,,,,,,,-99,-99,-99,3,0.875
77,,,,South Korea,South Korea,732,East China Sea,7,7,1993,35.3166667,124.1333333,1,IMB,Mv Valeriy Volkov,Russia,365,6,Unspecified,,,,,,,,,-99,-99,-99,1,0.333333333
78,,,,Indonesia,Indonesia,850,Straits of Malacca-Indonesia,7,7,1993,4.1833333,99.4333333,1,IMB,Mv Faarabi,Iran,630,6,Unspecified,,,,,,,,,-99,-99,-99,4,0.15625
79,,,,South Korea,South Korea,732,East China Sea,8,7,1993,35.3333333,124.1666667,1,IMB,Mv Evgenity Zuluz,Russia,365,,Unspecified,,,,,,,,,-99,-99,-99,2,0.708333333
80,,,,China,China,710,Hong Kong - Luzon - Hainan,14,7,1993,22.3,115.2166667,1,IMB,Mv Ivan Skuridin,Russia,365,10,Unspecified,,,,,,,,,-99,-99,-99,2,0.715277778
81,,,,China,China,710,Hong Kong - Luzon - Hainan,15,7,1993,22.4,115.15,1,IMB,Mv Ko Mal San,North Korea,731,6,Unspecified,,,,,,,,,-99,-99,-99,1,0.333333333
82,,,,China,China,710,Hong Kong - Luzon - Hainan,13,8,1993,22.1333333,115.1,1,IMB,Mv Hermes Hope,Liberia,450,4,Unspecified,,,,,,,,,-99,-99,-99,3,0.904861111
83,,,,Indonesia,Indonesia,850,"Berlian barat, Surabaya, Indonesia",20,8,1993,-7.1885,112.7466667,4,IMB,Mt Kitsa,Cyprus,352,8,Unspecified,,,,,,,,,-99,-99,-99,4,0.166666667
84,,,,Taiwan,Taiwan,713,Hong Kong - Luzon - Hainan,28,8,1993,19.5783333,115.4533333,1,IMB,Mv A.J. 1,Cyprus,352,6,Unspecified,,,,,,,,,-99,-99,-99,1,0.4375
85,,,,Indonesia,Indonesia,850,"Berth 105, Belawan Port, Indonesia",2,9,1993,3.7766667,98.6766667,2,IMB,Mv Gold Future,Panama,95,6,Unspecified,,,,,,,,,-99,-99,-99,4,1.15741E-05
86,,,,Angola,Angola,540,Angola,9,9,1993,-5.915,13.965,1,IMB,Mv Tilly,Panama,95,6,Unspecified,,,,,,,,,-99,-99,-99,1,0.395833333
87,,,,Indonesia,Indonesia,850,Indonesia,11,9,1993,1,105,1,IMB,Mv Kota Intan,Singapore,830,4,Unspecified,,,,,,,,,-99,-99,-99,4,0.052083333
88,,,,Philippines,Philippines,840,Hong Kong - Luzon - Hainan,21,9,1993,17.7166667,120.1666667,1,IMB,Mv Inger Riis,Denmark,390,6,Unspecified,,,,,,,,,-99,-99,-99,4,0.229166667
89,,,,Indonesia,Indonesia,850,"Berth 108-109, Belawan Port, Indonesia",27,9,1993,3.7766667,98.6766667,2,IMB,Mv Macknight,Malta,338,2,Unspecified,,,,,,,,,-99,-99,-99,4,0.125
90,,,,Brazil,Brazil,140,"Outer Road, Santos, Brazil",29,9,1993,-24.1483333,-46.33,4,IMB,Mv Sao Paulo,Vanuatu,935,6,Unspecified,,,,,,,,,-99,-99,-99,3,0.979166667
91,,,,Brazil,Brazil,140,"Outer Road, Santos, Brazil",8,10,1993,-24.1483333,-46.33,4,IMB,Mv Betelgeuse,Brazil,140,4,Unspecified,,,,,,,,,-99,-99,-99,3,0.979166667
92,,,,Philippines,Philippines,840,Hong Kong - Luzon - Hainan,17,10,1993,18.28,120.2866667,1,IMB,Mt BP Admiral,Bermuda,200,8,Unspecified,,,,,,,,,-99,-99,-99,2,0.708333333
93,,,,Indonesia,Indonesia,850,Indonesia,19,10,1993,-9.1666667,115.8666667,1,IMB,Gullhaar,Norway,385,9,Unspecified,,,,,,,,,-99,-99,-99,3,0.8125
94,,,,Vietnam,Vietnam,816,Kampuchea,22,10,1993,8.2833333,106.6666667,1,IMB,Mv Nordsino,Cyprus,352,4,Unspecified,,,,,,,,,-99,-99,-99,3,0.989583333
95,,,,Guyana,Guyana,110,"Georgetown, Guyana",26,10,1993,6.8216667,-58.17,2,IMB,Mv Cottica,Hong Kong,710,10,Unspecified,,,,,,,,,-99,-99,-99,2,0.5625
96,,,,Indonesia,Indonesia,850,Indonesia,28,10,1993,-4.7333333,98.5833333,1,IMB,Mv Impala,Antigua and Barbuda,58,4,Unspecified,,,,,,,,,-99,-99,-99,4,0.1875
97,,,,Bangladesh,Bangladesh,771,"Off Brul Reach, Gange River, India",2,11,1993,22.0833,90.8333,2,IMB,LPG/C Polar Endurance,Bahamas,31,8,Unspecified,,,,,,,,,-99,-99,-99,2,0.670138889
98,,,,Taiwan,Taiwan,713,Hong Kong - Luzon - Hainan,5,11,1993,19.8666667,118.3666667,1,IMB,Mv Kayax,Panama,95,2,Unspecified,,,,,,,,,-99,-99,-99,1,0.451388889
99,,,,Sri Lanka,Sri Lanka,780,"12NM off Colombo Port, Sri Lanka",12,11,1993,6.9499,79.6487,3,IMB,Mv Lanka Asitha,Cyprus,352,4,Unspecified,,,,,,,,,-99,-99,-99,3,0.9375
100,,,,Philippines,Philippines,840,Hong Kong - Luzon - Hainan,4,12,1993,17.95,120.1833333,1,IMB,Mv Alam Teladan,Malaysia,820,6,Unspecified,,,,,,,,,-99,-99,-99,4,0.104166667
101,,,,Internationa Waters (Indian Ocean),Indonesia,850,Indian Ocean,6,12,1993,1.8333333,89.3333333,1,IMB,Mv Usguaua,Argentina,160,6,Unspecified,,,,,,,,,-99,-99,-99,3,0.979166667
102,,,,Indonesia,Indonesia,850,"Belawan Port, Indonesia",9,12,1993,3.7766667,98.6766667,2,IMB,Mv Sea Laurel,Antigua and Barbuda,58,4,Unspecified,,,,,,,,,-99,-99,-99,-99,
103,,,,China,China,710,"Zhuhai, China. Hong Kong - Luzon - Hainan",,,1993,22.23333333,113.5833333,4,IMB,Mv Universal Admiral,Russia,365,6,Unspecified,,,,,,,,,-99,-99,-99,-99,
104,,Attempted,,China,China,710,South China Sea,2,1,1994,22.01666667,116.1,1,IMB,Francesia,Unspecified,-99,8,Unspecified,,,,,,,,,-99,0,-99,-99,
105,,Actual,Hijacked,Paracel Islands,Paracel Islands,710,South China Sea,5,1,1994,13.63333333,112.0333333,1,IMB,Jui Ho,Taiwan,710,6,Unspecified,,,,4,1,,,,-99,1,1,4,0.197916667
108,,Actual,Boarded,Malaysia,Malaysia,820,Indonesia,9,1,1994,1.3,103.4833333,1,IMB,Gyoko Maru,Japan,740,8,Unspecified,,,,,,,,,-99,1,2,4,0.03125
107,,Attempted,,Indonesia,Indonesia,850,STM-INDO,9,1,1994,1.183333333,103.4,1,IMB,Joyama Maru,Japan,740,7,Unspecified,,,,,,,,,-99,0,-99,3,0.930555556
106,,Actual,Boarded,Indonesia,Indonesia,850,STM-INDO,9,1,1994,1.166666667,103.45,1,IMB,Hellespont P,Liberia,450,8,Unspecified,,,,,,,,,-99,1,2,3,0.979166667
109,,Actual,Boarded,Philippines,Philippines,840,HLH Area,10,1,1994,18.56666667,118.1166667,1,IMB,Peder Most,Denmark,390,6,Unspecified,,,,,,,,,-99,1,2,-99,
110,,Attempted,,Bangladesh,Bangladesh,771,"Chittagong B, Bangladesh",11,1,1994,22.2383333,91.82666667,2,IMB,Moon Bird,Denmark,390,6,Unspecified,,,,,,,,,-99,0,-99,4,0.041666667
111,,Actual,Boarded,Indonesia,Indonesia,850,Singapore Straits,12,1,1994,1.233333333,104.0833333,1,IMB,Bophuthatbwana,St. Vincent & Grenadines,57,6,Unspecified,,,,,,,,,-99,1,2,4,0.013888889
113,,Actual,Boarded,China,China,710,East China Sea,16,1,1994,28.56666667,123.9,1,IMB,Lucie Schulte,St. Vincent & Grenadines,57,4,Unspecified,,,,,,,,,-99,1,2,1,0.371527778
112,,Actual,Boarded,Vietnam,Vietnam,816,Vietnam,16,1,1994,10.3,107.0833333,1,IMB,Diyyinah,UAE,696,8,Unspecified,,,,,,,,,-99,1,2,4,0.25
114,,Actual,Boarded,Egypt,Egypt,651,"No.8 Suez Canal, Egypt",22,1,1994,29.81666667,32.55,2,IMB,Landka Asitha,Cyprus,352,4,Unspecified,,,,,,,,,-99,1,2,4,0.055555556
115,,Actual,Boarded,Philippines,Philippines,840,HLH Area,25,1,1994,17.68333333,119.9666667,1,IMB,Hans Oldendorff,Singapore,830,6,Unspecified,,,,,,,,,-99,1,2,4,0.229166667
116,,Actual,Boarded,Indonesia,Indonesia,850,STM-INDO,25,1,1994,1.25,103.3166667,1,IMB,Aries Has,Panama,95,7,Unspecified,,,,,,,,,-99,1,2,4,0.013888889
117,,,,Jamaica,Jamaica,51,"Off Kingston, Jamaica, Carribean ",26,1,1994,17.73666667,-76.75333333,,IMB,Victoria Faith,Hong Kong ,710,6,Unspecified,,,,,,,,,-99,-99,-99,4,0.083333333
118,,,,China,China,710,East China Sea ,27,1,1994,29.0791,122.9286,4,IMB,Nanshin Maru,Panama,95,6,Unspecified,,,,,,,,,-99,-99,-99,-99,
119,,Actual,Hijacked,Philippines,Philippines,840,HLH Area,27,1,1994,20,121.4,1,IMB,Alicia Star,Panama,95,6,Unspecified,,,,4,1,,,,-99,1,1,3,0.916666667
120,,Actual,Boarded,Paracel Islands,Paracel Islands,710,HLH Area,30,1,1994,14.9,110.7666667,1,IMB,Kota Mulia,Malaysia,820,6,Unspecified,,,,,,,,,-99,1,2,4,0.201388889
121,,Actual,Hijacked,Djibouti,Djibouti,522,Somalia,10,2,1994,11.66666667,43.16666667,1,IMB,MV Castor,Malta,338,6,Unspecified,,,,4,1,,,,-99,1,1,4,0.1875
122,,,,Paracel Islands,Paracel Islands,710,HLH Area,16,2,1994,13.63333333,112.0333333,1,IMB,Vlaherna,Cyprus,352,2,Unspecified,,,,,,,,,-99,-99,-99,-99,
123,,Actual,Boarded,Philippines,Philippines,840,"Manila Port, Philippines",16,2,1994,15.01333333,121.5933333,2,IMB,Nord Light,Cyprus,352,4,Unspecified,,,,,,,,,-99,1,2,4,0.125
124,,Attempted,,Spratly Islands,Spratly Islands,816,South China Sea,21,2,1994,12.28333333,112.9,1,IMB,Rita Del Mar,Norway,385,10-Vehicle Carrier,Unspecified,,,,,,,,,-99,0,-99,2,0.569444444
125,,Actual,Boarded,Taiwan,Taiwan,713,HLH Area,27,2,1994,22.98333333,121.6433333,1,IMB,Keumgang Glory,South Korea,732,4,Unspecified,,,,,,,,,-99,1,2,4,0.055555556
126,,Actual,Boarded,Indonesia,Indonesia,850,Indonesia,8,3,1994,-1.366666667,116.95,1,IMB,Timur Endurance,Bahamas,31,8,Unspecified,,,,,,,,,-99,1,2,4,0.104166667
127,,Attempted,,Vietnam,Vietnam,816,Kampuchea,12,3,1994,8.466666667,106.3333333,1,IMB,Santa Esmeralda,Singapore,830,8,Unspecified,,,,,,,,,-99,0,-99,4,0.052083333
128,,Actual,Boarded,Senegal,Senegal,433,"Dakar Roads, Senegal",14,3,1994,14.676,-17.42466667,2,IMB,Peder Most,Denamrk,390,6,Unspecified,,,,,,,,,-99,1,2,4,0.208333333
129,,Actual,Boarded,Sri Lanka,Sri Lanka,780,Sri Lanka,15,3,1994,6.945,79.75833333,1,IMB,California Zeus,Hong Kong,710,4,Unspecified,,,,,,,,,-99,1,2,4,0.041666667
130,,Actual,Hijacked,China,China,710,"TCS No.2 Buoy, Hong Kong (Coded as Hong Kong Port)",20,3,1994,22.555,114.1945,2,IMB,Tequila,Honduras,91,6,Unspecified,,,,4,1,,,,-99,1,1,3,0.78125
131,,Attempted,,China,China,710,East China Sea,25,3,1994,22.61666667,116.1166667,1,IMB,Khudozhnik N. Rer,Russia,365,4,Unspecified,,,,,,,,,-99,0,-99,3,0.965277778
132,,Actual,Boarded,China,China,710,East China Sea,26,3,1994,22.11666667,114.2666667,1,IMB,Shun Ping,Panama,95,4,Unspecified,,,,,,,,,-99,1,2,1,0.340277778
133,,Attempted,,Taiwan,Taiwan,713,East China Sea,26,3,1994,25.98333333,121.6433333,1,IMB,Nordsung,Cyprus,352,4,Unspecified,,,,,,,,,-99,0,-99,2,0.572916667
