Incident Reference,IMB incident number,Incident Type,Incident Action,Territorial Water Status,Closest Coastal State,Closest State COW Code,Location Description,Day,Month,Year,Lat Decimal Degrees,Long Decimal Degrees,Location Precision,Geolocation Source,Vessel Name,Flag,Flag COW Code,Vessel Type,Steaming or Stationary,Number of Assailants,Armed,Weaponry,Violence,Violence Dummy,Type of Stolen Goods,Port Response Received,Ransom Paid,Steaming Recode,Incident_type_recode,Incident_action_recode,Time_Day,Converted Time
525,,Actual,Boarded,Indonesia,Indonesia,850,"Gelasa Straits, Indonesia",13,11,1996,-2,107.3,1,IMB,Olga,Malta,338,2,Steaming,6,1,Knives,3,1,Cash,1,0,1,1,2,-99,
527,,Actual,Boarded,Brazil,Brazil,140,"Rio de Janeiro, Brazil",14,11,1996,-22.8765,-43.19133333,2,IMB,San Marino,Cyprus,352,4,Anchored,Unspecified,0,Unspecified,0,0,"Stores, Property",1,0,2,1,2,-99,
528,,Actual,Boarded,Malaysia,Malaysia,820,"SPA Jetty, Sandakan, Malaysia",14,11,1996,5.815,118.0555,2,IMB,Bunga Semarak,Malaysia,830,3,Berthed,7,1,Unspecified,3,1,Paint,1,0,3,1,2,-99,
529,,Attempted,,Indonesia,Indonesia,850,"Riau Straits, Indonesia ",14,11,1996,0.875,104.3214,,IMB,NA,Unspecified,-99,-99,Unspecified,Unspecified,0,Unspecified,0,0,None,1,0,-99,0,-99,-99,
530,,Attempted,,India,India,750,"Madras Roads, India",19,11,1996,13.10666667,80.305,2,IMB,Al Badlyah,Kuwait,690,8,Anchored,3,0,Unspecified,0,0,None,1,0,2,0,-99,-99,
531,,Actual,Hijacked,Indonesia,Indonesia,850,E of Singapore ,19,11,1996,1.2705,104.051,,IMB,Suci ,Malaysia,830,8,Steaming,6,1,Unspecified,4,1,Unspecified,1,0,1,1,1,-99,
532,,Actual,Boarded,Indonesia,Indonesia,850,Indonesia,24,11,1996,-0.613333333,104.1533333,1,IMB,Katong,Singapore,830,8,Steaming,10,1,Knives,3,1,Cash,1,0,1,1,2,-99,
533,,Actual,Boarded,Indonesia,Indonesia,850,"Jakarta, Indonesia",2,12,1996,-6.0338333,106.8866667,2,IMB,Opal Ray,Malta,338,10-Vehicle Carrier,Anchored,Unspecified,1,Unspecified,3,1,None,1,0,2,1,2,-99,
534,,Actual,Boarded,India,India,750,"Kandia, India",6,12,1996,23.0243333,70.22033333,2,IMB,Sanmar Sentinel,Unspecified,-99,8,Berthed,Unspecified,0,Unspecified,0,0,Paint,1,0,3,1,2,-99,
535,,Actual,Boarded,Sierra Leone,Sierra Leone,451,"Freetown, Sierra Leone",8,12,1996,8.489833333,-13.2075,2,IMB,Altair,Cyprus,352,-99,Anchored,15,1,Guns,4,1,"Cash, Personal Belongings, Cargo",1,0,2,1,2,-99,
536,,Actual,Boarded,China,China,710,Hong Kong,15,12,1996,22.20833333,114.4883333,2,IMB,NA,Unspecified,-99,1,Unspecified,6,0,Unspecified,0,0,Cargo,1,0,-99,1,2,-99,
537,,Actual,Boarded,Bangladesh,Bangladesh,771,"Chittagong, Bangladesh",26,12,1996,22.2383333,91.82666667,2,IMB,Stamford,Panama,95,4,Anchored,Unspecified,0,Unspecified,0,0,Mooring Ropes,1,0,2,1,2,-99,
538,,Attempted,Fired Upon,Philippines,Philippines,840,Northern Philippines (Luzon coordinates used),Unspecified,Unspecified,1996,16.6962,120.1529,,IMB,NA,Unspecified,-99,4,Unspecified,Unspecified,1,Guns,4,1,None,1,0,-99,0,3,-99,
539,,Actual,Boarding,Ecuador,Ecuador,130,"Guayaquil, Ecuador",1,1,1997,-2.2666667,-79.9,4,IMB,,,,4,Unspecified,Unspecified,0,Unspecified,,1,1,1,0,-99,1,2,-99,
540,,Actual,Boarding,Somalia,Somalia,520,Somalia,1,1,1997,11.95,50.75,1,IMB,,Russia,365,5,Unspecified,Unspecified,1,Unspecified,,1,0,1,0,-99,1,2,-99,
